event_logo_url,event_name,event_start_date,event_end_date,event_venue,event_country,event_description,event_url,event_active_days,event_industry
http://expo.overseaseducation.sg/v.fastcdn.co/u/0e18fcd3/57786581-0-Untitled-.png,World University Expo @ SUNTEC,2024-07-06,2024-07-06,SUNTEC Convention Centre,,"Join our World University Expo this Saturday, 6 July 2024 12-6.30pm at SUNTEC whereby you can meet staff members of 50+ Renown Unis & Pathways from UK, Australia, Switzerland, USA & NZ etc. (Many travel from overseas for this event). Fantastic One-Stop Event for you to get all your queries answered and get an in-depth understanding of many Renowned Unis & Pathways.",http://expo.overseaseducation.sg/,1,Other
https://ahiceconference.com/southeastasia/wp-content/uploads/sites/2/2024/05/AHICE-SEA-Logo.jpg,AHICE South East Asia,2025-02-25,2025-02-26,Pan Pacific Singapore,,"The Asian Hotel Industry Conference & Exhibition (AHICE) hosted by HM Magazine made its South East Asia debut in February 2024 on Tuesday 27, Wednesday 28 and Thursday 29 in Singapore. The event was attended by over 500 South East Asia’s leading hotel owners, operators, consultants and suppliers. The 2024 program included evocative, educational and insightful keynote speakers, Q&As and panel sessions featuring more than 50 key speakers from across South East Asia and globally. The launch of AHICE in South East Asia follows the success of the recent Asia Pacific Hotel Industry Conference and Exhibition held in Adelaide, South Australia during May 2023 and attended by a record 1,500 delegates, making it the largest accommodation event in Asia Pacific region. AHICE South East Asia will return to Singapore on 25 – 26 February 2025 at the Pan Pacific Singapore. Stay up to date on all things AHICE [here.](https://ahiceconference.com/southeastasia/subscribe/)",https://ahiceconference.com/southeastasia/,2,"Professional Training and Coaching, Travel Arrangements, Hotels and Motels, Financial Services, Hospitality, Appliances, Electrical, and Electronics Manufacturing, Education,  Education General,  Music Education Advocacy,  Music Education Resources,  Professional Development For Music Teachers,  Public Awareness Campaigns For Music Education,  Music Education, Other, Hospitality,  Lodging & Resorts,  Hotel Management, Hospitals and Health Care, Investment Management,  Finance General,  Real Estate Development,  Finance,  Private Equity Real Estate,  Asset Management, Information Technology,  Defense and Space Manufacturing,  Management Consulting,  Data Integration,  Engineering,  Business Services,  Data and Analytics,  Electronics,  Software,  Military,  Security,  Systems Engineering,  Privacy and Security,  Software Engineering,  Contracts,  Supply Chain,  Manufacturing,  Logistics,  Aerospace,  Defense,  Unmanned Systems,  C4Isr,  Cyber,  Cyber Security,  Advanced Electronics,  Directed Energy,  Space, Computer Games,  Business Services General,  Business Services, Marketing Services,  Information Collection & Delivery,  Media & Internet,  Travel Agencies & Services,  Consumer Services, Investment Banking, Software,  Software Development,  3D Technology,  Multimedia and Design Software,  3D Modeling,  Software Development & Design,  Hardware,  Architectural Visualization,  Design and Visualization,  Enterprise Software,  Construction and Fabrication Documents,  Information Technology, Specialty Trade Contractors, Real Estate,  Hotels and Resorts, Hospitality,  Accounting & Accounting Services,  Hotel,  Business Services,  Gaming,  Food Service,  Investment Banking,  Chain Restaurant,  Finance,  Organizational Development,  Executive Search,  Mid-Management Recruitment, Real Estate, Music,  Multimedia, Games And Graphics Software,  Independent Music,  Publishing,  Software Development & Design,  Media and Entertainment,  Entertainment Software,  Software,  Music and Audio,  Internet,  Internet Services, Broadcast Media,  Broadcasting,  News,  Media & Internet,  Business News,  Finance News,  Business,  Markets,  Investing,  Technology,  Small Business,  Economy,  Wealth,  Politics,  Europe Business News,  Asia Business News, Entertainment Providers,  Lodging & Resorts,  Movies, Music and Entertainment,  Entertainment - Cinema & Performance Theatre,  Hospitality,  Real Estate Investment Trusts (REITs),  Hospitality - Hotels, Resorts, Restaurants & Bars,  Resort management,  Cinema Digital Technology, Hospitality,  Hospitality General,  Hotel Discounts | Hotel Loyality Marketing | Sales Management |, Government Administration, Art,  Technology, Information and Internet,  Media & Internet General,  Media & Internet,  Media and Entertainment,  Community,  Communities,  Creativity,  Community and Lifestyle,  Sharing,  E-Commerce,  Ideas,  Commerce and Shopping,  Internet,  Internet Services,  Music,  Music and Audio,  News,  Content and Publishing,  Photography,  Social Media, Non-profit Organizations,  Charitable Organizations & Foundations,  Association,  Philanthropy,  Organizations,  Nonprofit,  Foundation, Personal Care Product Manufacturing,  Cosmetics, Beauty Supply & Personal Care Products,  Consumer Goods,  Manufacturing, Software,  Software Development,  Multimedia, Games And Graphics Software,  Augmented Reality,  Mobile Apps,  Software Development & Design,  Hardware,  Mobile Gaming,  Location Based Services,  Internet,  Internet Services,  Video Games,  Gaming,  Virtual Reality, TV,  Entertainment Providers,  Information Collection & Delivery,  Content,  Movies,  Media & Internet,  Media and Entertainment,  Celebs,  Video, Publishing,  Media & Internet, Collaboration,  Project Management,  Software,  SaaS,  Software Development,  Software Development & Design,  Business/Productivity Software,  Automation/Workflow Software,  Team Management,  Task Management,  Communication,  Production Tracking, Broadcast Media Production and Distribution, E-Learning Providers, International Trade and Development,  Charitable Organizations & Foundations,  Association,  Organizations,  Leisure,  Community and Lifestyle,  Tourism,  Travel and Tourism,  Travel, Public Relations and Communications Services,  Finance General,  Finance, Technology, Information and Media, Law Practice, Marketing Services, Real Estate,  Commercial Real Estate Brokerage,  Valuation and Advisory,  Investment and Asset Management,  Properrty Research and Consulting,  Project and Development Services, Hospitality,  Lodging & Resorts,  Hotels and Resorts,  Other Restaurants, Hotels and Leisure, Hospitality General,  Hotels and Resorts,  Hospitality,  Leisure Facilities, Leisure, Travel & Tourism, Retail,  Wall Murals,  Wallpapers,  Canvas Prints,  Custom Wallpapers & Canvas Prints, Software Development,  Consumer Electronics & Computers Retail,  Retail, Defense and Space Manufacturing"
https://apac.commoditytradingweek.com/wp-content/uploads/2024/02/cropped-ctw-apac-main-2.png,Commodity Trading Week APAC,2025-02-25,2025-02-26,Marina Bay Sands,,Commodity Trading Week APAC is the premier event in the Asia Pacific region for the commodity industry. It offers a platform for professionals across all sectors of commodity trading to network and gain insights.,https://apac.commoditytradingweek.com/,2,"Maritime, Financial Services, Education Administration Programs,  Colleges & Universities,  Education, Software Development,  Finance General,  Regulatory Reporting,  Finance,  EMIR,  REMIT,  MiFID II,  StromVV,  FinfraG,  MAR,  Market Surveillance,  Data Analysis,  Interfaces to Exchanges & Brokers,  SFTR,  MiFIR, Maritime Transportation, Manufacturing, Other, Information Technology & Services, Financial Services,  Finance,  Finance General,  Other Capital Markets/Institutions, Commercial & Residential Construction,  Construction, Staffing and Recruiting, Motor Vehicle Manufacturing,  Manufacturing General,  Automotive,  Cars,  Manufacturing,  Transportation,  Performance,  Electric Vehicle,  Event,  Mechanical Engineering,  Science and Engineering, IT Services and IT Consulting, Business Services General,  Fleet Management,  Business Services,  Vessel Monitoring,  Vessel Tracking,  SSAS (Ship Secuirty Alert Systems),  LRIT Data Centre/ASP services,  LRIT testing services, Mining, International Trade and Development, Software Development, Telecommunications, Wholesale Import and Export, Oil and Gas"
https://architecturebuildingservices.com.sg/wp-content/uploads/2022/02/ABS-2024_Logo_withtagline_clear.png,Architecture & Building Services (ABS) 2024,2024-11-13,2024-11-15,Marina Bay Sands Expo & Convention Centre Singapore,,The 10th Architecture & Building Services (ABS) 2024 is a trade exposition for the built environment industry in Singapore and ASEAN countries.,https://architecturebuildingservices.com.sg/,3,"Wholesale Apparel and Sewing Supplies, Biotechnology Research, IT Services and IT Consulting, Higher Education,  Education General,  Education, Government Administration,  Commercial & Residential Construction,  Construction, Mental Health Care,  Hospitals & Clinics,  Applied Behavioral Analysis for Autism Spectrum therapy,  Healthcare,  Speech Therapy,  Diagnostic Evaluations,  Psychotherapy,  Occupational Therapy,  Individual Therapy, Other, Telecommunications, Hospitals and Health Care, Architecture and Planning, Business Consulting and Services, Retail Office Equipment"
https://asiandownstreaminsights.com/wp-content/uploads/2020/11/logo-asian-downstream-summit.png,Asian Downstream Summit,2024-10-23,2024-10-24,"Sands Expo & Convention Centre, Singapore",,"The Asian Downstream Summit is Asia’s most influential downstream oil and gas event. It brings together senior industry leaders and decision-makers from across the downstream value chain to discuss the industry's challenges and solutions. The event focuses on advancing sustainable energy solutions in Asian petrochemicals and refining industries. Co-located with the Asian Refining Technology Conference (ARTC) and the Ammonia & Carbon Capture Asia (ACCA) conference. The event includes conferences, an expo, and networking opportunities.",https://asiandownstreaminsights.com/events/asian-downstream-summit/,2,Other
https://asiandownstreaminsights.com/wp-content/uploads/2020/11/logo-artc-resized.png,Asian Refining Technology Conference,2024-10-23,2024-10-24,"Sands Expo & Convention Centre, Singapore",,Advancing Sustainable Energy Solutions in Asian Petrochemicals and Refining Industries,https://asiandownstreaminsights.com/events/asian-refining-technology-conference/,2,Other
https://beautyasia.com.sg/wp-content/uploads/2022/11/BA2022.jpg,BeautyAsia,2025-02-17,2025-02-19,Marina Bay Sands,,Asia’s most established beauty and wellness networking platform,https://beautyasia.com.sg/show-info/,3,Other
https://blockchainfestival.asia/img/fs__ticket-body.svg,Blockchain Festival Asia 2025,2025-03-08,2025-03-08,Marina Bay Sands Convention Centre,Singapore,Blockchain Festival Singapore (SG) stands as a main innovative event...,https://blockchainfestival.asia/,1,Other
https://digimarconapac.com/wp-content/uploads/2020/03/DigiMarCon-APAC-2020-Logo-v2.png,DigiMarCon Asia Pacific 2024-Digital Marketing Conference & Exhibition,2024-09-19,2024-09-20,Marina Bay Sands Expo and Convention Centre,Australia,"DigiMarCon Asia Pacific 2024 is a premier digital marketing, media, and advertising event.",https://digimarconapac.com/,2,Other
https://exito-e.com/wp-content/uploads/2022/11/Cyber-Security-Summit-Logo.png,Cyber Security Summit Singapore,2025-02-01,2025-02-01,Singapore,Singapore,A Strategic Agenda for Securing Singapore's Cyberspace,https://exito-e.com/cybersecuritysummit/singapore/,1,"Professional Training and Coaching, Travel Arrangements, Public Relations and Communications Services, Industry Associations, Technology, Information and Internet,  Advertising & Marketing,  Global Business Event Directory,  Business Services,  Mobile Device Event Promotion,  Professional and Academic productivity tools,  Seminars, Conferences, Tradeshows, Exhibitions, Webinars, Software Development,  Business Intelligence (Bi) Software,  Computer Software,  Software Development & Design,  Linux,  Software, Software Development,  Business Intelligence (Bi) Software,  Software,  Event Management,  Event networking,  Software Development & Design,  Events,  Event discovery,  Media and Entertainment,  Mobile apps,  Marketing,  Event promotion,  Sales and Marketing,  Event app,  SaaS,  Business Networking,  Ticketing, Appliances, Electrical, and Electronics Manufacturing, Other, Travel Arrangements,  Travel Agencies & Services,  Tourism,  Consumer Services,  Travel and Tourism,  Travel, IT Services and IT Consulting,  Consumer Electronics & Computers Retail,  Consumer Electronics,  Retail,  Hardware,  Cyber Security,  Information Technology,  Privacy and Security,  Electronics, Events Services, Airlines and Aviation, Computer and Network Security, Computer and Network Security,  Software Development & Design,  Next Generation Threat Protection,  Software,  Advanced Persistent Threats,  Zero-Day Exploits/Malware,  Targeted Attacks,  Network Security,  Incident Response,  Adaptive Defense,  Cybersecurity, Book and Periodical Publishing, IT Services and IT Consulting, Broadcast Media Production and Distribution, Technology, Information and Media, Non-profit Organizations, Banking,  Finance,  Financial Services,  Lending and Investments, Software Development, IT Services and IT Consulting,  Information Collection & Delivery,  Real time Big Data,  Media & Internet,  Internet of the things,  Turning machine data into business insights,  Advanced Analytics,  Data visualization,  Compliance,  Monitoring,  Business Intelligence,  Log management,  Geolocation,  Security, Online Audio and Video Media,  Publishing,  Online Publishing,  Media & Internet"
